MS_IMP_SEG,YR_BUILT
R2000056.1.1,1989
R2000062.1.1,1989
R2000069.1.1,1989
R2000091.1.1,1963
R2000383.1.1,2013
R2001152.1.1,1960
R2001767.1.1,2001
R2001843.1.1,1995
R2001843.1.2,1995
R2002011.1.1,2002
R2002142.1.1,1980
R2002142.1.2,1980
R2002142.1.3,1980
R2002142.1.4,1980
R2002142.1.5,1980
R2002144.1.1,1963
R2002162.1.1,9180
R2002162.1.2,1984
R2002170.1.1,1989
R2002194.2.1,1989
R2002355.1.1,1975
R2002356.1.1,1981
R2002362.1.1,1990
R2003342.1.1,1989
R2003342.1.2,1989
R2003934.1.1,1998
R2003937.1.1,2000
R2004047.1.1,1991
R2004047.1.2,1992
R2004068.1.1,1985
R2004240.1.1,2005
R2004246.1.1,1974
R2004336.1.1,1987
R2004538.1.1,1996
R2004538.2.1,1990
R2004548.1.1,1997
R2004557.1.1,1976
R2004563.1.1,1890
R2004576.1.1,1983
R2004709.1.1,1962
R2004709.1.2,1962
R2006631.1.1,1993
R2006637.1.1,1994
R2006641.1.1,1993
R2006644.1.1,1996
R2006651.1.1,1989
R2006732.1.1,1986
R2006887.1.1,1987
R2006887.2.1,2010
R2006887.3.1,2012
R2006887.4.1,2012
R2006887.5.1,2011
R2007028.2.1,1989
R2007147.1.1,1990
R2007147.2.1,1990
R2007152.2.1,2013
R2007171.1.1,1990
R2007190.1.1,1990
R2008688.2.1,1991
R2008688.2.2,1991
R2008690.1.1,1976
R2008905.1.1,1989
R2009128.1.1,1930
R2009128.1.2,1930
R2009128.1.3,1990
R2009357.1.1,1948
R2009382.1.1,1989
R2009439.1.1,1947
R2009440.1.1,1991
R2009982.1.1,1992
R2011192.1.1,1981
R2012897.1.1,2010
R2012897.1.2,1996
R2012898.1.1,1992
R2012898.1.2,1992
R2012898.2.1,1992
R2012898.2.2,1992
R2012899.1.1,2002
R2013999.1.1,1992
R2014000.1.1,1991
R2014001.1.1,1992
R2014002.1.1,1992
R2014485.1.1,1999
R2014485.1.2,1999
R2014519.1.1,1930
R2014551.1.1,1999
R2014641.1.1,1990
R2014644.1.1,1990
R2014701.1.1,2003
R2014701.1.3,1950
R2014701.1.4,2003
R2014701.1.5,2003
R2015166.1.1,1989
R2015166.2.1,1999
R2015236.1.1,1992
R2015236.1.6,1992
R2015442.1.1,1978
R2015442.2.1,1978
R2015442.3.1,1978
R2015442.4.1,1978
R2015442.5.1,1978
R2015442.6.1,1978
R2015763.2.1,2013
R2017508.1.1,1979
R2017509.1.1,1979
R2017535.1.1,1973
R2017535.1.2,1973
R2017562.1.1,1988
R2017562.1.2,1988
R2017977.1.1,1992
R2018187.1.1,1993
R2018187.2.1,1993
R2018187.3.1,2006
R2018187.4.1,1993
R2019396.1.1,1993
R2021490.1.1,1922
R2021491.1.1,1950
R2021498.1.1,1993
R2022507.1.1,1940
R2022513.1.1,1935
R2022513.1.2,1935
R2022513.1.3,1935
R2022514.1.1,1973
R2022514.1.2,1973
R2022514.1.3,1973
R2022514.2.1,1985
R2023036.1.1,1969
R2024501.1.1,1988
R2024561.1.1,1998
R2024607.1.1,1916
R2024607.1.4,1916
R2024907.1.1,1992
R2025035.1.1,1960
R2025573.1.1,1995
R2027262.1.1,1969
R2027517.1.1,2014
R2028035.1.1,1994
R2028734.1.1,1997
R2028734.1.2,1997
R2028738.1.1,1991
R2028739.1.1,1991
R2030803.1.1,1995
R2031467.1.1,1995
R2031895.1.1,1979
R2032690.1.1,1997
R2032712.1.1,1990
R2033356.1.1,1975
R2033357.1.1,1997
R2033358.1.1,1995
R2033359.1.1,1978
R2033361.1.1,1994
R2033363.1.1,1997
R2033364.1.1,1997
R2033365.1.1,1997
R2033577.1.1,1950
R2033577.1.2,1980
R2033595.1.1,1990
